date,y,proba_cv
2022-06-16,1,0.653557490664644
2022-06-17,1,0.42227267540186325
2022-06-20,1,0.39871018722042734
2022-06-21,0,0.49371953093121906
2022-06-22,1,0.5886940149739432
2022-06-23,1,0.5271284660496728
2022-06-24,1,0.49233254730297366
2022-06-27,0,0.5329196308674712
2022-06-28,0,0.6258541854695121
2022-06-29,0,0.6070326190511766
2022-06-30,1,0.5434814227672806
2022-07-04,0,0.4724852469969996
2022-07-05,1,0.5559487137813928
2022-07-06,1,0.5374016673629962
2022-07-07,0,0.45028601065408097
2022-07-08,0,0.554955437091575
2022-07-11,0,0.6331708751446075
2022-07-12,0,0.6210365790875227
2022-07-13,0,0.5966210840301295
2022-07-14,1,0.6012716730940957
2022-07-15,0,0.5335001788704576
2022-07-18,1,0.5876708087708261
2022-07-19,1,0.47384967526243105
2022-07-20,1,0.5668945947682704
2022-07-21,0,0.5677583385251189
2022-07-22,0,0.6493868026014576
2022-07-25,0,0.6096898465864942
2022-07-26,1,0.660916606714268
2022-07-27,1,0.49023788976124505
2022-07-28,1,0.5264265592562926
2022-07-29,0,0.5169029352071147
2022-08-02,1,0.629497936331386
2022-08-03,1,0.5427716079292141
2022-08-04,1,0.5941232016016001
2022-08-05,0,0.6002286353945426
2022-08-08,0,0.6017485519313799
2022-08-09,1,0.6210791740997396
2022-08-10,1,0.46622478168937986
2022-08-11,1,0.5451536822138485
2022-08-12,1,0.501132934231565
2022-08-15,0,0.5277925645445851
2022-08-16,0,0.5446753066896132
2022-08-17,1,0.6002530482381854
2022-08-18,0,0.5327883240413297
2022-08-19,0,0.6150718893135918
2022-08-22,0,0.6305708712062571
2022-08-23,1,0.5375254541547485
2022-08-24,1,0.4889927582166591
2022-08-25,0,0.4402011943385659
2022-08-26,0,0.6194126775136632
2022-08-29,0,0.5135884292523062
2022-08-30,0,0.5158204002363553
2022-08-31,0,0.5093029868363287
2022-09-01,0,0.5380108144815758
2022-09-02,0,0.49660993917477075
2022-09-06,1,0.4929665301552164
2022-09-07,1,0.3780848345817354
2022-09-08,1,0.4456573783468571
2022-09-09,1,0.435543260836866
2022-09-12,0,0.44799365325726
2022-09-13,1,0.6402743718970492
2022-09-14,0,0.498151287572198
2022-09-15,0,0.5543168313375233
2022-09-16,1,0.5646355973369442
2022-09-19,0,0.5137815694655158
2022-09-20,0,0.5494593002445987
2022-09-21,0,0.5497301504516465
2022-09-22,0,0.5228919217182247
2022-09-23,0,0.5359914240544331
2022-09-26,0,0.5136593810438218
2022-09-27,1,0.4887586736995107
2022-09-28,0,0.44036037659445054
2022-09-29,0,0.5761926235524271
2022-09-30,1,0.5002288160936297
2022-10-03,1,0.4578243360811401
2022-10-04,0,0.42822221420824264
2022-10-05,0,0.5811586140554176
2022-10-06,0,0.569376091265035
2022-10-07,0,0.6168239367433108
2022-10-11,0,0.5743032933815834
2022-10-12,1,0.5461147588663651
2022-10-13,0,0.4684749211295491
2022-10-14,1,0.6059229720789299
2022-10-17,1,0.45916118795306404
2022-10-18,0,0.48031569757582954
2022-10-19,0,0.5550677639489657
2022-10-20,1,0.5578243944498786
2022-10-21,1,0.4756159053423717
2022-10-24,1,0.49981587280064255
2022-10-25,0,0.497536317574485
2022-10-26,0,0.5428637145146364
2022-10-27,1,0.5530204462150783
2022-10-28,0,0.4347317474987082
2022-10-31,1,0.553271007470142
2022-11-01,0,0.5012536105996738
2022-11-02,0,0.550061001584671
2022-11-03,1,0.5160221499254231
2022-11-04,1,0.4349172153823058
2022-11-07,1,0.48441553517075503
2022-11-08,0,0.5036497931854804
2022-11-09,1,0.5699467777404402
2022-11-10,1,0.32874437293703335
2022-11-11,0,0.49695419262666163
2022-11-14,1,0.5614182959029406
2022-11-15,0,0.5058587697951954
2022-11-16,0,0.5192566717588247
2022-11-17,1,0.5426580483420546
2022-11-18,0,0.5110139607982722
2022-11-21,1,0.5315508240451347
2022-11-22,1,0.4840215786618599
2022-11-23,1,0.4789500477546602
2022-11-24,1,0.3991442005881
2022-11-25,0,0.49226986364332204
2022-11-28,1,0.5654790138311646
2022-11-29,1,0.45851830908748864
2022-11-30,1,0.44213679715432946
2022-12-01,1,0.5024051551525747
2022-12-02,0,0.4968268929340594
2022-12-05,0,0.5114094580621983
2022-12-06,0,0.5141539379143549
2022-12-07,1,0.4907385729685633
2022-12-08,0,0.4732664815448003
2022-12-09,1,0.5084538214570687
2022-12-12,1,0.47639025697648146
2022-12-13,0,0.4590932124828384
2022-12-14,0,0.5031793775445795
2022-12-15,0,0.5226075381387205
2022-12-16,0,0.48310253894537564
2022-12-19,1,0.5287818645877341
2022-12-20,1,0.4906552832325091
2022-12-21,0,0.4660209208490031
2022-12-22,1,0.5396958848469169
2022-12-23,0,0.4920682329389591
2022-12-28,1,0.5044783747457563
2022-12-29,0,0.48462594762759353
2022-12-30,1,0.5447422295905573
2023-01-03,1,0.44078708907123104
2023-01-04,0,0.5001019361690814
2023-01-05,1,0.5049501026919522
2023-01-06,1,0.45398676041193287
2023-01-09,1,0.49299270517095845
2023-01-10,1,0.4952731552953921
2023-01-11,1,0.48661548139402655
2023-01-12,1,0.4828301345548661
2023-01-13,1,0.48595061978548715
2023-01-16,0,0.4813340763604588
2023-01-17,0,0.5404233918115607
2023-01-18,0,0.5343964815538045
2023-01-19,1,0.5311001214729627
2023-01-20,1,0.4703695955583979
2023-01-23,0,0.4732727686489039
2023-01-24,1,0.5201161267240741
2023-01-25,1,0.49220427591389493
2023-01-26,1,0.485491691136116
2023-01-27,0,0.5076984872418165
2023-01-30,1,0.5305075039382554
2023-01-31,1,0.47306724741003797
2023-02-01,1,0.4393897513024728
2023-02-02,0,0.44457603874772544
2023-02-03,0,0.4971715580265426
